Protocol_name,Original_clone_ID,ENA_BioSample_accession,Availability
NT1,A2NT1,,On request
NT2,A2NT3,SAMEA120646542,ENA PRJEB102539
NT3,A5NT2,,On request
NT4,B2NT3,,On request
NT5,B4NT3,SAMEA120646543,ENA PRJEB102539
NT6,B5NT2,,On request
NT7,KO2NT2,,On request
NT8,KO8NT2,,On request
NT9,KONT3,SAMEA120646544,ENA PRJEB102539
UV1,UV1B1,,On request
UV2,UV1B2,,On request
UV3,UV1B3,,On request
UV4,UV1KO1,,On request
UV5,UV1KO2,SAMEA120646562,ENA PRJEB102539
UV6,UV1KO3,SAMEA120646563,ENA PRJEB102539
UV7,UV3UV1,SAMEA120646564,ENA PRJEB102539
UV8,UV4UV1,SAMEA120646565,ENA PRJEB102539
UV9,UV4UV2,SAMEA120646566,ENA PRJEB102539
CP1,CP1A1,,On request
CP2,CP1A3,,On request
CP3,CP1B2,,On request
CP4,CP1B3,,On request
CP5,CP2A3,,On request
CP6,CP2B2,,On request
CP7,CP2KO2,,On request
BAP1,BAP1A3,SAMEA120646545,ENA PRJEB102539
BAP2,BAP1A8,SAMEA120646547,ENA PRJEB102539
BAP3,BAP1B1,SAMEA120646548,ENA PRJEB102539
BAP4,BAP1B3,SAMEA120646549,ENA PRJEB102539
BAP5,BAP1KO3,SAMEA120646551,ENA PRJEB102539
BAP6,BAP2A7,SAMEA120646546,ENA PRJEB102539
BAP7,BAP2B1,SAMEA120646550,ENA PRJEB102539
BAP8,BAP2KO2,SAMEA120646552,ENA PRJEB102539
ENU1,NEU1A6,SAMEA120646553,ENA PRJEB102539
ENU2,NEU1B4,SAMEA120646556,ENA PRJEB102539
ENU3,NEU1B6,SAMEA120646557,ENA PRJEB102539
ENU4,NEU1KO1,SAMEA120646559,ENA PRJEB102539
ENU5,NEU1KO2,SAMEA120646560,ENA PRJEB102539
ENU6,NEU2A5,SAMEA120646554,ENA PRJEB102539
ENU7,NEU2A6,SAMEA120646555,ENA PRJEB102539
ENU8,NEU2B5,SAMEA120646558,ENA PRJEB102539
ENU9,NEU2KO5,SAMEA120646561,ENA PRJEB102539
omitted,BAP2KO3,,"On request, sequencing QC failure"
